CIDADES,MESORREGIOES,MICRORREGIOES,ANO,PRODUCAO,ALTITUDE NO NIVEL DO MAR,MEDIA DE PRECIPITACAO TOTAL,MEDIA DE PRESSAO ATMOSFERICA,MEDIA DE RADIACAO GLOBAL,MEDIA DE TEMPERATURA DO AR,MEDIA DE TEMPERATURA DO PONTO DE ORVALHO,MEDIA DE UMIDADE RELATIVA DO AR,MEDIA DE VELOCIDADE DO VENTO
Botelhos,Sul Sudoeste de Minas,Pocos de Caldas,2020,1716,944,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Botelhos,Sul Sudoeste de Minas,Pocos de Caldas,2021,1260,944,"0,1258420716","908,5074625","1409,035466","19,5474043","12,71395907","70,35068943","1,69783749"
Bueno Brandao,Sul Sudoeste de Minas,Pouso Alegre,2012,1320,1174,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Bueno Brandao,Sul Sudoeste de Minas,Pouso Alegre,2013,1320,1174,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
Bueno Brandao,Sul Sudoeste de Minas,Pouso Alegre,2014,1080,1174,"0,1132905698","909,1807222","1495,142717","22,85072456","13,48398751","59,8419428","2,198578678"
Bueno Brandao,Sul Sudoeste de Minas,Pouso Alegre,2015,1260,1174,"0,1821421322","908,483797","1423,723568","23,46453462","15,8018901","66,10966429","1,787797155"
Bueno Brandao,Sul Sudoeste de Minas,Pouso Alegre,2016,2100,1174,"0,1534177848","909,027482","1411,095369","22,51454827","14,6007571","64,63473452","1,978855732"
Bueno Brandao,Sul Sudoeste de Minas,Pouso Alegre,2017,1200,1174,"0,1480334636","909,2214932","1389,859947","22,31290535","14,17060947","63,63812545","2,088801302"
Bueno Brandao,Sul Sudoeste de Minas,Pouso Alegre,2018,1800,1174,"0,166645632","908,5662085","1192,791685","21,70802692","14,72084031","67,75710772","1,891698372"
Bueno Brandao,Sul Sudoeste de Minas,Pouso Alegre,2019,1560,1174,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Bueno Brandao,Sul Sudoeste de Minas,Pouso Alegre,2020,1800,1174,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Bueno Brandao,Sul Sudoeste de Minas,Pouso Alegre,2021,1200,1174,"0,1258420716","908,5074625","1409,035466","19,5474043","12,71395907","70,35068943","1,69783749"
Cabo Verde,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2012,2070,836,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Cabo Verde,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2013,2040,836,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
Cabo Verde,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2014,1680,836,"0,1132905698","909,1807222","1495,142717","22,85072456","13,48398751","59,8419428","2,198578678"
Cabo Verde,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2015,1980,836,"0,1821421322","908,483797","1423,723568","23,46453462","15,8018901","66,10966429","1,787797155"
Cabo Verde,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2016,1650,836,"0,1534177848","909,027482","1411,095369","22,51454827","14,6007571","64,63473452","1,978855732"
Cabo Verde,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2017,1814,836,"0,1480334636","909,2214932","1389,859947","22,31290535","14,17060947","63,63812545","2,088801302"
Cabo Verde,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2018,1608,836,"0,166645632","908,5662085","1192,791685","21,70802692","14,72084031","67,75710772","1,891698372"
Cabo Verde,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2019,2040,836,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Cabo Verde,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2020,2249,836,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
